komentar,noise,clean,normalized,label
"Biasanya kalo aku stres aku bakalan teriak atau misuh² buat hilangin stres pak, kalo kaya gitu bisa ngilangin stres yg berlebih kan pak?",Clean,biasanya kalo aku stres aku bakalan teriak atau misuh buat hilangin stres pak kalo kaya gitu bisa ngilangin stres yg berlebih kan pak,biasanya kalo aku stres aku bakalan teriak atau misuh buat hilangin stres pak kalo kaya gitu bisa ngilangin stres yg berlebih kan pak,Stress
"Gak nafsu makan, susah tidur, lemah, lesu, lunglai, self diagnose depresi, padahal losestreak mobile legends.",Clean,gak nafsu makan susah tidur lemah lesu lunglai self diagnose depresi padahal losestreak mobile legends,gak nafsu makan susah tidur lemah lesu lunglai self diagnose depresi padahal losestreak mobile legends,Depresi
"U told all of my feeling . 😢 tapi saat itu emg kondisi ga memungkinkan , sukur bisa lepas (keluar dari lingkungan tsb). Me time pelarian saat pikiran penuh ini dan itu saat ga ada pelampiasan lain, tapi saat ""me time"" tsb pun dibatasin , ngeri sih.  😢 thx ud ngejelasin , kadang susah menggambarkan ke org yg blg ""lebay bgt lu cok""",Clean,u told all of my feeling   tapi saat itu emg kondisi ga memungkinkan  sukur bisa lepas keluar dari lingkungan tsb me time pelarian saat pikiran penuh ini dan itu saat ga ada pelampiasan lain tapi saat me time tsb pun dibatasin  ngeri sih   thx ud ngejelasin  kadang susah menggambarkan ke org yg blg lebay bgt lu cok,u told all of my feeling tapi saat itu emg kondisi tidak memungkinkan sukur bisa lepas keluar dari lingkungan tsb me time pelarian saat pikiran penuh ini dan itu saat tidak ada pelampiasan lain tapi saat me time tsb pun dibatasin ngeri sih thx ud ngejelasin kadang susah menggambarkan ke org yg blg lebay banget lu cok,Normal
"Dok, saya dulu pernah keracunan makan , trus ngehalusinasi guleng jadi hp Dok. Apa itu wajar? Mohon infonya dok",Clean,dok saya dulu pernah keracunan makan  trus ngehalusinasi guleng jadi hp dok apa itu wajar mohon infonya dok,dok saya dulu pernah keracunan makan trus ngehalusinasi guleng jadi hp dok apa itu wajar mohon infonya dok,Normal
"1. Kontrol rutin ke RS Jiwa. Ketemu sama Psikiater.
2. Minum obat anti depresan. Minum yang rutin .
3. Bila marah, tulis. Marah tulis. Jangan ngomong orang lain di belakang. Jangan ngajak bertengkar irang lain. Jangan mukul orang lain. Jangan bunuh orang. Kalo marah nulis. Bawa bukunya tiap kontrol.
4. Terapi okupasi. Jadi bangun tidur. Minum obat. Mandi. Wudlu. Sholat subuh. Masak. Nyuci alat masak. Makan. Nyuci alat makan. Buat to do list. Dan selama okupasi, biarkan saja pikiran kemana mana. Gunakn energi untuk okupasi. Daripada untuk mengamuk.",Clean,"kontrol rutin ke rs jiwa ketemu sama psikiater
 minum obat anti depresan minum yang rutin 
 bila marah tulis marah tulis jangan ngomong orang lain di belakang jangan ngajak bertengkar irang lain jangan mukul orang lain jangan bunuh orang kalo marah nulis bawa bukunya tiap kontrol
 terapi okupasi jadi bangun tidur minum obat mandi wudlu sholat subuh masak nyuci alat masak makan nyuci alat makan buat to do list dan selama okupasi biarkan saja pikiran kemana mana gunakn energi untuk okupasi daripada untuk mengamuk",kontrol rutin ke rs jiwa ketemu sama psikiater minum obat anti depresan minum yang rutin bila marah tulis marah tulis jangan ngomong orang lain di belakang jangan ngajak bertengkar irang lain jangan mukul orang lain jangan bunuh orang kalo marah nulis bawa bukunya tiap kontrol terapi okupasi jadi bangun tidur minum obat mandi wudlu sholat subuh masak nyuci alat masak makan nyuci alat makan buat to do list dan selama okupasi biarkan saja pikiran kemana mana gunakn energi untuk okupasi daripada untuk mengamuk,Normal
"Keren banget dok, kontennya 😅😅",Clean,keren banget dok kontennya,keren banget dok kontennya,Normal
"aku januari 2023 divonis dokter spkj F32.2 depressive episode. alhamdulilah masih menjalani hidup meski bayang bayang trauma masa lalu masih kadang muncul, dengan menerima segala yang terjadi dan membenahi kerangka berpikir perlahan mulai membaik",Clean,aku januari  divonis dokter spkj f depressive episode alhamdulilah masih menjalani hidup meski bayang bayang trauma masa lalu masih kadang muncul dengan menerima segala yang terjadi dan membenahi kerangka berpikir perlahan mulai membaik,aku januari divonis dokter spkj f depressive episode alhamdulilah masih menjalani hidup meski bayang bayang trauma masa lalu masih kadang muncul dengan menerima segala yang terjadi dan membenahi kerangka berpikir perlahan mulai membaik,Normal
lbh sering merasa diri sbg org sakti hahahahahaha,Clean,lbh sering merasa diri sbg org sakti hahahahahaha,lbh sering merasa diri sbg org sakti hahahahahaha,Normal
"Sudah terhitung sejak 3 tahun kepulangan ortu pasca covid, down terus selama +/- 3 tahun hingga saat ini, mau ke faskes, sudah di faskes malah pulang entah malu / bingung / tiba-tiba down lagi.",Clean,sudah terhitung sejak  tahun kepulangan ortu pasca covid down terus selama   tahun hingga saat ini mau ke faskes sudah di faskes malah pulang entah malu  bingung  tibatiba down lagi,sudah terhitung sejak tahun kepulangan ortu pasca covid down terus selama tahun hingga saat ini mau ke faskes sudah di faskes malah pulang entah malu bingung tibatiba down lagi,Normal
"Bang.. izin request cara abang belajar dong , terus tips belajar yang  baik menurut bang cipeng, saya termotivasi liat abang lanjut S2 walaupun sibuk dengan kegiatan di luar akademis.. terimakasih bang..",Clean,bang izin request cara abang belajar dong  terus tips belajar yang  baik menurut bang cipeng saya termotivasi liat abang lanjut s walaupun sibuk dengan kegiatan di luar akademis terimakasih bang,bang izin request cara abang belajar dong terus tips belajar yang baik menurut bang cipeng saya termotivasi liat abang lanjut s walaupun sibuk dengan kegiatan di luar akademis terimakasih bang,Normal
"Dok, cara b_n_h diri yg instan gimana ya?
Sudah beli r_cun tikus tp baca deskripsinya kok gak instan langsung m_ti
Sedangkan potas ga dijual bebas",Clean,"dok cara bnh diri yg instan gimana ya
sudah beli rcun tikus tp baca deskripsinya kok gak instan langsung mti
sedangkan potas ga dijual bebas",dok cara bnh diri yg instan gimana ya sudah beli rcun tikus tp baca deskripsinya kok gak instan langsung mti sedangkan potas tidak dijual bebas,Normal
Bang bhs tentang penyakit centengan dong,Clean,bang bhs tentang penyakit centengan dong,bang bhs tentang penyakit centengan dong,Normal
"Saya mengalami semua yang di omongkan dokter tirta ini, beruntung nya saya punya temen psikolog, saya setahun lebih hampir tidak pernah bicara di tempat kerja karena selalu di press dan selalu di hina secara rasis,pemikiran, fisik dan cita-cita untuk usaha, selalu di hancurkan mentalnya,  jatah lemburan di habisi, pekerjaan yang selalu lebih berat untuk saya, sehingga saya memilih diam dan memendam sakit hati karena tidak ada kawan bercerita sampe ketemu teman lama yang kebetulan dia psikolog dan mulai tenang dan nyaman menjalani",Clean,saya mengalami semua yang di omongkan dokter tirta ini beruntung nya saya punya temen psikolog saya setahun lebih hampir tidak pernah bicara di tempat kerja karena selalu di press dan selalu di hina secara rasispemikiran fisik dan citacita untuk usaha selalu di hancurkan mentalnya  jatah lemburan di habisi pekerjaan yang selalu lebih berat untuk saya sehingga saya memilih diam dan memendam sakit hati karena tidak ada kawan bercerita sampe ketemu teman lama yang kebetulan dia psikolog dan mulai tenang dan nyaman menjalani,saya mengalami semua yang di omongkan dokter tirta ini beruntung nya saya punya temen psikolog saya setahun lebih hampir tidak pernah bicara di tempat kerja karena selalu di press dan selalu di hina secara rasispemikiran fisik dan citacita untuk usaha selalu di hancurkan mentalnya jatah lemburan di habisi pekerjaan yang selalu lebih berat untuk saya sehingga saya memilih diam dan memendam sakit hati karena tidak ada kawan bercerita sampe ketemu teman lama yang kebetulan dia psikolog dan mulai tenang dan nyaman menjalani,Normal
sayangnya minum anti depresan itu efek sampingnya banyak ☹️,Clean,sayangnya minum anti depresan itu efek sampingnya banyak,sayangnya minum anti depresan itu efek sampingnya banyak,Normal
 @user-mx4nn8pf6w  suara bisikan menghayal supaya terjadi itu jadi makanan sehari hari hidup ku ini,Noise,mxnnpfw  suara bisikan menghayal supaya terjadi itu jadi makanan sehari hari hidup ku ini,mxnnpfw suara bisikan menghayal supaya terjadi itu jadi makanan sehari hari hidup ku ini,Normal
Psikiater yg bisa kasih resep obat,Clean,psikiater yg bisa kasih resep obat,psikiater yg bisa kasih resep obat,Normal
Mereguk antidepresan lagi,Clean,mereguk antidepresan lagi,mereguk antidepresan lagi,Normal
Psikiater apa psikolog?,Clean,psikiater apa psikolog,psikiater apa psikolog,Normal
"entahlah ke psikolog itu scam menurutku. gada solusi, cuman pande pande dia ngomong ke orang atau bisa dibilang cakap taik. gada gunanya asli",Clean,entahlah ke psikolog itu scam menurutku gada solusi cuman pande pande dia ngomong ke orang atau bisa dibilang cakap taik gada gunanya asli,entahlah ke psikolog itu scam menurutku gada solusi cuman pande pande dia ngomong ke orang atau bisa dibilang cakap taik gada gunanya asli,Normal
 @rotisaksang  Ya sudah. Kamu benar. Semoga kamu dapat solusi ya. Semoga dilancarkan urusan mu. Dimudahkan bahagia mu.,Noise,ya sudah kamu benar semoga kamu dapat solusi ya semoga dilancarkan urusan mu dimudahkan bahagia mu,ya sudah kamu benar semoga kamu dapat solusi ya semoga dilancarkan urusan mu dimudahkan bahagia mu,Normal
 @rotisaksang   udah pernah datang ke psikolog bang??,Noise,udah pernah datang ke psikolog bang,udah pernah datang ke psikolog bang,Normal
kok bisa tau Fcodenya sih kak? aku gak pernah dikasih tau.. langsung ke solusi harus gini..gini..gini..,Clean,kok bisa tau fcodenya sih kak aku gak pernah dikasih tau langsung ke solusi harus giniginigini,kok bisa tau fcodenya sih kak aku gak pernah dikasih tau langsung ke solusi harus giniginigini,Normal
 @SebeunChinfans  kan tertulis di surat rujukan ya,Noise,kan tertulis di surat rujukan ya,kan tertulis di surat rujukan ya,Normal
"Jangan bundir mas/mbak, nangis marah teriak lah sepuasnya luapkan emosinya, tapi jangan ada kepikiran bundir, ayo yang semangat untuk hidup",Clean,jangan bundir masmbak nangis marah teriak lah sepuasnya luapkan emosinya tapi jangan ada kepikiran bundir ayo yang semangat untuk hidup,jangan bundir masmbak menangis marah teriak lah sepuasnya luapkan emosinya tapi jangan ada kepikiran bundir ayo yang semangat untuk hidup,Depresi
Jangan bundir bro sate ayam madura masih enak,Clean,jangan bundir bro sate ayam madura masih enak,jangan bundir bro sate ayam madura masih enak,Normal
"Cherrs broo,kita samaaa",Clean,cherrs brookita samaaa,cherrs brookita samaaa,Normal
"aq belum nemu yg bisa jd tmn crta, pain inside jd ny",Clean,aq belum nemu yg bisa jd tmn crta pain inside jd ny,saya belum nemu yg bisa jd tmn crta pain inside jd ny,Normal
 @sigitkurniawan6380  saya mulai dari dulu suka sendirian dikamar 24 jam siang dan malam introvert pemalas tak suka dinasehati orang tua  tak suka mendengar perkataan orang tua pasti saya ini anak durhaka banyak dosa tapi rasa takut akan mati masuk neraka sepertinya tidak berlaku bagi saya ini,Noise,saya mulai dari dulu suka sendirian dikamar  jam siang dan malam introvert pemalas tak suka dinasehati orang tua  tak suka mendengar perkataan orang tua pasti saya ini anak durhaka banyak dosa tapi rasa takut akan mati masuk neraka sepertinya tidak berlaku bagi saya ini,saya mulai dari dulu suka sendirian dikamar jam siang dan malam introvert pemalas tak suka dinasehati orang tua tak suka mendengar perkataan orang tua pasti saya ini anak durhaka banyak dosa tapi rasa takut akan mati masuk neraka sepertinya tidak berlaku bagi saya ini,Cemas
"​ @Asyid597 saya di posisi seperti kamu, dan efeknya baru terasa sekarang di umur 21 tahun, merasa gagal akan segalanya, tapi harapan untuk tetap hidup semoga tidak hilang. Semangat buat kita🎉",Noise,saya di posisi seperti kamu dan efeknya baru terasa sekarang di umur  tahun merasa gagal akan segalanya tapi harapan untuk tetap hidup semoga tidak hilang semangat buat kita,saya di posisi seperti kamu dan efeknya baru terasa sekarang di umur tahun merasa gagal akan segalanya tapi harapan untuk tetap hidup semoga tidak hilang semangat buat kita,Normal
10:40 koyone ono ng channel e sinau urip😅,Clean,koyone ono ng channel e sinau urip,koyone ono ng channel e sinau urip,Normal
"Thanks, stay klimis dok",Clean,thanks stay klimis dok,thanks stay klimis dok,Normal
Kalo mau tahu kesehatan mental seseorang harus ke psikolog dan harus bayar dan sedangkan uang buat makan aja selalu kekurangan trs cara lain nya gimana?,Clean,kalo mau tahu kesehatan mental seseorang harus ke psikolog dan harus bayar dan sedangkan uang buat makan aja selalu kekurangan trs cara lain nya gimana,kalo mau tahu kesehatan mental seseorang harus ke psikolog dan harus bayar dan sedangkan uang buat makan aja selalu kekurangan terus cara lain nya gimana,Normal
Di sosmed banyak di ig banyak yg tekanjang bulat bulat ngundang hasrat,Clean,di sosmed banyak di ig banyak yg tekanjang bulat bulat ngundang hasrat,di sosmed banyak di ig banyak yg tekanjang bulat bulat ngundang hasrat,Normal
"setuju banget, jangan ""adu nasib"" karena tiap orang kondisinya beda beda",Clean,setuju banget jangan adu nasib karena tiap orang kondisinya beda beda,setuju banget jangan adu nasib karena tiap orang kondisinya beda beda,Normal
"Oiya baru sadar BK itu singkatan dari Bimbingan & Konseling, tapi BK di sekolahku dulu cuma buat menghukum murid2, makanya ngga ada yg berani, + mukanya tegas2 sekali wkwk",Clean,oiya baru sadar bk itu singkatan dari bimbingan  konseling tapi bk di sekolahku dulu cuma buat menghukum murid makanya ngga ada yg berani  mukanya tegas sekali wkwk,oiya baru sadar bk itu singkatan dari bimbingan konseling tapi bk di sekolahku dulu cuma buat menghukum murid makanya tidak ada yg berani mukanya tegas sekali wkwk,Normal
WE GO GYMM,Clean,we go gymm,we go gymm,Normal
"Pinter Lo bang , tapi aku golek konco crito malah koncone guwathell kabeh la yok pora malah tambah😢",Clean,pinter lo bang  tapi aku golek konco crito malah koncone guwathell kabeh la yok pora malah tambah,pinter lo bang tapi aku golek konco crito malah koncone guwathell kabeh la yok pora malah tambah,Normal
"Kok berani dukung 01 dok, ga takut sama penguasa",Clean,kok berani dukung  dok ga takut sama penguasa,kok berani dukung dok tidak takut sama penguasa,Cemas
"Docc, tlg dicek baim korban gigitan ular tanah di chanel heru gundul, kakinya sampai habis tinggal tulang tp tidak ada penanganan medis, malah diobatin alternatif yang ngga jelas 🙏",Clean,docc tlg dicek baim korban gigitan ular tanah di chanel heru gundul kakinya sampai habis tinggal tulang tp tidak ada penanganan medis malah diobatin alternatif yang ngga jelas,docc tlg dicek baim korban gigitan ular tanah di chanel heru gundul kakinya sampai habis tinggal tulang tp tidak ada penanganan medis malah diobatin alternatif yang tidak jelas,Normal
Gwe depresi gak bisa nikah ama selingkuhan doc 😳,Clean,gwe depresi gak bisa nikah ama selingkuhan doc,gwe depresi gak bisa nikah ama selingkuhan doc,Depresi
demen sama cinelli yang lagi nyender dibelakang,Clean,demen sama cinelli yang lagi nyender dibelakang,demen sama cinelli yang lagi nyender dibelakang,Normal
"Riil tenan perkoro mancing dok, saiki mahasiswa skripsian yo join mancing 😂",Clean,riil tenan perkoro mancing dok saiki mahasiswa skripsian yo join mancing,riil tenan perkoro mancing dok saiki mahasiswa skripsian yo join mancing,Normal
Wah parah ada politik di closing😂 memberi dislek,Clean,wah parah ada politik di closing memberi dislek,wah parah ada politik di closing memberi dislek,Normal
"Dok, ada temenku yg cerita klo dia ke psikiater dan di diagnosa punya depresi dan anxiety, udah dikasih antidepresan, dan enak ktnya bikin tenang, dokternya saranin utk balik lg utk terapi selanjutnya .. tapi masalahnya temenku gapunya uang utk terapi berkelanjutan.. dan dia jg gapunya bpjs (suaminya baru di phk), posisinya lg kesulitan keuangan, disisi lain dia ingin nyembuhin luka masakecilnya karena punya ibu yg sakit NPD.. mohon solusinya, aku pun gabisa bantu byk karena keuangan ku pun terbatas..",Clean,dok ada temenku yg cerita klo dia ke psikiater dan di diagnosa punya depresi dan anxiety udah dikasih antidepresan dan enak ktnya bikin tenang dokternya saranin utk balik lg utk terapi selanjutnya  tapi masalahnya temenku gapunya uang utk terapi berkelanjutan dan dia jg gapunya bpjs suaminya baru di phk posisinya lg kesulitan keuangan disisi lain dia ingin nyembuhin luka masakecilnya karena punya ibu yg sakit npd mohon solusinya aku pun gabisa bantu byk karena keuangan ku pun terbatas,dok ada temenku yg cerita klo dia ke psikiater dan di diagnosa punya depresi dan anxiety udah dikasih antidepresan dan enak ktnya bikin tenang dokternya saranin utk balik lg utk terapi selanjutnya tapi masalahnya temenku gapunya uang utk terapi berkelanjutan dan dia jg gapunya bpjs suaminya baru di phk posisinya lg kesulitan keuangan disisi lain dia ingin nyembuhin luka masakecilnya karena punya ibu yg sakit npd mohon solusinya aku pun gabisa bantu byk karena keuangan ku pun terbatas,Depresi
"Klo mau konsultasi di rumah sakit mana dok?
Di solo ada gk dok?",Clean,"klo mau konsultasi di rumah sakit mana dok
di solo ada gk dok",klo mau konsultasi di rumah sakit mana dok di solo ada tidak dok,Normal
Klo yg korup masih cengar cengir itu gangguan jiwa jg ya dok?,Clean,klo yg korup masih cengar cengir itu gangguan jiwa jg ya dok,klo yg korup masih cengar cengir itu gangguan jiwa jg ya dok,Normal
Endingnya bikin melongo😢,Clean,endingnya bikin melongo,endingnya bikin melongo,Normal
Kalo tes depresi gratis di internet tuh valid nggak?,Clean,kalo tes depresi gratis di internet tuh valid nggak,kalo tes depresi gratis di internet tuh valid nggak,Depresi
.vidio analysis pribadi knpa pilih amin mana dok 😅,Clean,vidio analysis pribadi knpa pilih amin mana dok,vidio analysis pribadi knpa pilih amin mana dok,Normal
"Pake KIS. Tanya sama pak kadus. Syaratnya apa. Dipenuhi. Kalo KIS ga ada iuran bulanan. Bedanya sama BPJS, karena kan BPJS bayar iuran bulanan sekitar 40 ribuan. Kalo kamu buat KIS, kamu ga perlu bayar iuran, dan kartu itu bisa bikin dapat layanan dengan gratis.",Clean,pake kis tanya sama pak kadus syaratnya apa dipenuhi kalo kis ga ada iuran bulanan bedanya sama bpjs karena kan bpjs bayar iuran bulanan sekitar  ribuan kalo kamu buat kis kamu ga perlu bayar iuran dan kartu itu bisa bikin dapat layanan dengan gratis,pake kis tanya sama pak kadus syaratnya apa dipenuhi kalo kis tidak ada iuran bulanan bedanya sama bpjs karena kan bpjs bayar iuran bulanan sekitar ribuan kalo kamu buat kis kamu tidak perlu bayar iuran dan kartu itu bisa bikin dapat layanan dengan gratis,Normal
"KIS kan nanti diurus kadus. Ada form nya. Keterangan tidak mampu. Ke RT dulu. Ke RW dulu. Baru ke kadus. Ga usah gengsi. Tetangga tahu buat KIS, kalo diejek ga usah ditanggapi. Toh memangnya mereka mau mentraktir biaya RS? Ga kan.",Clean,kis kan nanti diurus kadus ada form nya keterangan tidak mampu ke rt dulu ke rw dulu baru ke kadus ga usah gengsi tetangga tahu buat kis kalo diejek ga usah ditanggapi toh memangnya mereka mau mentraktir biaya rs ga kan,kis kan nanti diurus kadus ada form nya keterangan tidak mampu ke rt dulu ke rw dulu baru ke kadus tidak usah gengsi tetangga tahu buat kis kalo diejek tidak usah ditanggapi toh memangnya mereka mau mentraktir biaya rs tidak kan,Normal
 @laksitagamar6896  sakit sekali susah sekali hidup ini tak punya tujuan lagi harapan lagi dicapai kerjaan cuma berak sambil ngedot bikin kopi duduk terkadang rebahan dikamar sambil menikmati hapi dan berkelahi dengan hati berkelahi dengan pikiran yang kacau ini,Noise,sakit sekali susah sekali hidup ini tak punya tujuan lagi harapan lagi dicapai kerjaan cuma berak sambil ngedot bikin kopi duduk terkadang rebahan dikamar sambil menikmati hapi dan berkelahi dengan hati berkelahi dengan pikiran yang kacau ini,sakit sekali susah sekali hidup ini tak punya tujuan lagi harapan lagi dicapai kerjaan cuma berak sambil ngedot bikin kopi duduk terkadang rebahan dikamar sambil menikmati hapi dan berkelahi dengan hati berkelahi dengan pikiran yang kacau ini,Normal
"BK di sekolah hanya untuk penertiban saja kalau gt. Tapi beruntungnya saya, BK di sekolah saya memang untuk konseling. Kalau untuk penertiban namanya STPKS",Clean,bk di sekolah hanya untuk penertiban saja kalau gt tapi beruntungnya saya bk di sekolah saya memang untuk konseling kalau untuk penertiban namanya stpks,bk di sekolah hanya untuk penertiban saja kalau gt tapi beruntungnya saya bk di sekolah saya memang untuk konseling kalau untuk penertiban namanya stpks,Normal
"mbak, bisa kok urus bpjs yang gratis. datang ke puskesmas terdekat minta tunjuk gimana cara bikin bpjs APBD/APBN

apalagi kalo udah ada surat kontrolnya, lebih cepet diproses karena sedang masa pengobatan.

setelah jadi nanti urus dari faakes 1 biar dapet rujukan ke RS tujuan yang ada poli kejiwaan-nya

semoga membantu ya",Clean,"mbak bisa kok urus bpjs yang gratis datang ke puskesmas terdekat minta tunjuk gimana cara bikin bpjs apbdapbn

apalagi kalo udah ada surat kontrolnya lebih cepet diproses karena sedang masa pengobatan

setelah jadi nanti urus dari faakes  biar dapet rujukan ke rs tujuan yang ada poli kejiwaannya

semoga membantu ya",mbak bisa kok urus bpjs yang gratis datang ke puskesmas terdekat minta tunjuk gimana cara bikin bpjs apbdapbn apalagi kalo udah ada surat kontrolnya lebih cepet diproses karena sedang masa pengobatan setelah jadi nanti urus dari faakes biar dapet rujukan ke rs tujuan yang ada poli kejiwaannya semoga membantu ya,Normal
Cari poli jiwa di RS daerahmu,Clean,cari poli jiwa di rs daerahmu,cari poli jiwa di rs daerahmu,Normal
"Gw bisa kok mendem, wlwpun ancur 6 bulan wkwkwk",Clean,gw bisa kok mendem wlwpun ancur  bulan wkwkwk,saya bisa kok mendem wlwpun ancur bulan wkwkwk,Normal
Dok bahas bahayanya diabetes dan cara menghindarinya agar yang nonton tau betapa bahayanya diabetes,Clean,dok bahas bahayanya diabetes dan cara menghindarinya agar yang nonton tau betapa bahayanya diabetes,dok bahas bahayanya diabetes dan cara menghindarinya agar yang nonton tau betapa bahayanya diabetes,Normal
Logat jogjane kentel,Clean,logat jogjane kentel,logat jogjane kentel,Normal
"pingin bnget punya karakter kayak mas tirta ini...ceplas ceplos wani,kendel, loss,...jdi diri sendiri nggk  takut d hujat, bnyak orang yg  tkut tmpil apa adanya,....semua inginya hnya terpendam d otak hingga jdi tua....pdhl d otak nya punya gagasan yg luar biasa bila d aopikasikan d khidupan",Clean,pingin bnget punya karakter kayak mas tirta iniceplas ceplos wanikendel lossjdi diri sendiri nggk  takut d hujat bnyak orang yg  tkut tmpil apa adanyasemua inginya hnya terpendam d otak hingga jdi tuapdhl d otak nya punya gagasan yg luar biasa bila d aopikasikan d khidupan,pingin bnget punya karakter kayak mas tirta iniceplas ceplos wanikendel lossjdi diri sendiri nggk takut d hujat bnyak orang yg tkut tmpil apa adanyasemua inginya hnya terpendam d otak hingga jdi tuapdhl d otak nya punya gagasan yg luar biasa bila d aopikasikan d khidupan,Cemas
"gw sekarang kalo mau keluar suka ngecek, gw udah pake baju bener apa nggak, ada yang ketinggalan apa nggak. Karena dulu pernah disuruh ke warung, pas udah deket warung baru sadar gw atasan gw cuma pake kaos dalem. Trus ditambah gw bberapa kali mimpi kluyuran di luar rumah tapi nggak pake celana.

kebawa sampe sekarang kalo keluar rumah selalu cek gw pake celana apa nggak, pake baju apa nggak.",Clean,"gw sekarang kalo mau keluar suka ngecek gw udah pake baju bener apa nggak ada yang ketinggalan apa nggak karena dulu pernah disuruh ke warung pas udah deket warung baru sadar gw atasan gw cuma pake kaos dalem trus ditambah gw bberapa kali mimpi kluyuran di luar rumah tapi nggak pake celana

kebawa sampe sekarang kalo keluar rumah selalu cek gw pake celana apa nggak pake baju apa nggak",saya sekarang kalo mau keluar suka ngecek saya udah pake baju bener apa nggak ada yang ketinggalan apa nggak karena dulu pernah disuruh ke warung pas udah deket warung baru sadar saya atasan saya cuma pake kaos dalem trus ditambah saya bberapa kali mimpi kluyuran di luar rumah tapi nggak pake celana kebawa sampe sekarang kalo keluar rumah selalu cek saya pake celana apa nggak pake baju apa nggak,Normal
Tantangan yg gak kalah penting yakni menyadarkan  masyarakat bahwa penyakit kejiwaan sama halnya dg penyakit2 lain yg wajar sbg manusia.,Clean,tantangan yg gak kalah penting yakni menyadarkan  masyarakat bahwa penyakit kejiwaan sama halnya dg penyakit lain yg wajar sbg manusia,tantangan yg gak kalah penting yakni menyadarkan masyarakat bahwa penyakit kejiwaan sama halnya dg penyakit lain yg wajar sbg manusia,Normal
"Terimakasih dok jadi leebih tercerahkan, dok bikin konten olahraga dok👏",Clean,terimakasih dok jadi leebih tercerahkan dok bikin konten olahraga dok,terimakasih dok jadi leebih tercerahkan dok bikin konten olahraga dok,Normal
"Numpang nanya dok ,  klau fetis orng yg eneh ,  contohnya kjadian bnyak nya laki laki meperlihatkan alat klaminya di umum dngn sengajanya. Apkh itu termksud gangguan jiwa?",Clean,numpang nanya dok   klau fetis orng yg eneh   contohnya kjadian bnyak nya laki laki meperlihatkan alat klaminya di umum dngn sengajanya apkh itu termksud gangguan jiwa,numpang nanya dok klau fetis orng yg eneh contohnya kjadian bnyak nya laki laki meperlihatkan alat klaminya di umum dngn sengajanya apkh itu termksud gangguan jiwa,Normal
akhir2 panik wkwk,Clean,akhir panik wkwk,akhir panik wkwk,Normal
"Dok, gimana ya susah bgt jalin hubungan yang intim sama orang lain. Entah temen saudara orangtua susah bener. Apa lagi jalin hubungan buat nikah. Susah bener dok. Aku dah Konsul ke faskes pertama cuma suruh mengontrol diri, Konsul ke RSUD psikolog nya ga mau bales chat ku dan itu aku kek tertolak bgt. Terus aku Konsul ke biro psikologi mweh mwahal bgt. Sedang aku baru bisa kerja di gaji pokoknya cuma 600rb. Kemauan ku kayak lenyap dok. Berlahan harga diri ku kaya makin berkurang dari waktu ke waktu. 

Hikssss 😢",Clean,"dok gimana ya susah bgt jalin hubungan yang intim sama orang lain entah temen saudara orangtua susah bener apa lagi jalin hubungan buat nikah susah bener dok aku dah konsul ke faskes pertama cuma suruh mengontrol diri konsul ke rsud psikolog nya ga mau bales chat ku dan itu aku kek tertolak bgt terus aku konsul ke biro psikologi mweh mwahal bgt sedang aku baru bisa kerja di gaji pokoknya cuma rb kemauan ku kayak lenyap dok berlahan harga diri ku kaya makin berkurang dari waktu ke waktu 

hikssss",dok gimana ya susah banget jalin hubungan yang intim sama orang lain entah temen saudara orangtua susah bener apa lagi jalin hubungan buat nikah susah bener dok aku dah konsul ke faskes pertama cuma suruh mengontrol diri konsul ke rsud psikolog nya tidak mau bales chat ku dan itu aku kek tertolak banget terus aku konsul ke biro psikologi mweh mwahal banget sedang aku baru bisa kerja di gaji pokoknya cuma rb kemauan ku kayak lenyap dok berlahan harga diri ku kaya makin berkurang dari waktu ke waktu hikssss,Normal
ni konten cocok dikasih ke wibu,Clean,ni konten cocok dikasih ke wibu,ni konten cocok dikasih ke wibu,Normal
